index,MatchId,Creation,Duration,Id,Mode,Name,StartTimestamp,assists,baronKills,bountyLevel,champExperience,champLevel,championId,championName,championTransform,consumablesPurchased,damageDealtToBuildings,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,deaths,detectorWardsPlaced,doubleKills,dragonKills,firstBloodAssist,firstBloodKill,firstTowerAssist,firstTowerKill,gameEndedInEarlySurrender,gameEndedInSurrender,goldEarned,goldSpent,individualPosition,inhibitorKills,inhibitorsLost,item0,item1,item2,item3,item4,item5,item6,itemsPurchased,killingSprees,kills,lane,largestCriticalStrike,largestKillingSpree,largestMultiKill,longestTimeSpentLiving,magicDamageDealt,magicDamageDealtToChampions,magicDamageTaken,neutralMinionsKilled,nexusKills,nexusLost,objectivesStolen,objectivesStolenAssists,participantId,pentaKills,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,profileIcon,puuid,quadraKills,riotIdName,riotIdTagline,role,sightWardsBoughtInGame,spell1Casts,spell2Casts,spell3Casts,spell4Casts,summoner1Casts,summoner1Id,summoner2Casts,summoner2Id,summonerId,summonerLevel,summonerName,SummonerImage,teamEarlySurrendered,teamId,teamPosition,timeCCingOthers,timePlayed,totalDamageDealt,totalDamageDealtToChampions,totalDamageShieldedOnTeammates,totalDamageTaken,totalHeal,totalHealsOnTeammates,totalMinionsKilled,totalTimeCCDealt,totalTimeSpentDead,totalUnitsHealed,tripleKills,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,turretKills,turretsLost,unrealKills,visionScore,visionWardsBoughtInGame,wardsKilled,wardsPlaced,win
4,NA1_3956463332,25/6/21 23:06,32.78,3956463332,CLASSIC,teambuilder-match-3956463332,07:34.2,14,1,0,13202,15,875,Sett,0,5,3884,7215,3884,18167,4,2,0,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,12331,10400,UTILITY,0,0,3111,3857,3057,6671,3031,3044,3364,19,2,8,MIDDLE,760,5,1,794,1504,1504,3199,31,0,0,0,0,5,0,76907,14253,16766,4904,LdqzYn6_-PhviT36IuugFOscBptnJJBRquxZKQwcYuBG_eraRHRReD5Md_b6I0a9UFvTlCCSdXKTfA,0,,,SUPPORT,0,54,17,27,8,10,4,9,14,NCXq6r7jtLo2EHb5Md2aj-DuVw0NOHXGnsglP0whGvhpyVQ,224,MrWartortles,,FALSE,100,UTILITY,26,1963,93287,22562,0,21837,1922,0,66,97,67,1,0,14875,6804,1871,2,4,0,94,2,8,44,TRUE
5,NA1_3956463332,25/6/21 23:06,32.78,3956463332,CLASSIC,teambuilder-match-3956463332,07:34.2,1,0,0,14898,16,58,Renekton,0,1,4020,4020,4020,29825,7,0,1,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,11385,11100,TOP,0,2,6630,3071,6333,0,3047,1054,3340,19,1,4,TOP,0,2,2,693,5382,1920,10877,0,0,1,0,0,6,0,133888,13488,19974,4983,fjzcR2kCFZ3ukhYng72wxZmyO8t2j_DQeHigGoCb8q6oHJWKY4WbVwlBdqWuXQumif_wMmSYEb40Qw,0,,,SOLO,0,57,23,63,7,2,4,1,12,R-VgMVmyh-NKI_F9619uFIrWaQ_DXbd3D57PFZQd2ormgiM,161,SnavInsidious,,FALSE,200,TOP,17,1963,139271,15409,0,32461,6964,0,196,23,231,1,0,0,0,1608,2,9,0,10,0,0,6,FALSE
6,NA1_3956463332,25/6/21 23:06,32.78,3956463332,CLASSIC,teambuilder-match-3956463332,07:34.2,7,0,0,10398,13,82,Mordekaiser,0,1,366,12874,366,19893,8,1,0,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,8566,8310,JUNGLE,0,2,4633,3020,3116,1052,0,0,3364,14,0,1,JUNGLE,0,0,1,706,74662,9092,4251,92,0,1,0,0,7,0,17164,1189,24123,4764,8oJ1zpA0SwyZgAobP9MGav3kpL8VHiPcZyjiVYtet0uk7IOtqJ-jKszRmm6bPxbwWekYW5N_w6YxBA,0,,,NONE,0,100,25,43,8,11,11,5,4,E3ptQ7OUcjhDMnA8mb21l9v2gXEhcNSmg1V-fz77V3e6Hvs,88,Doctor Bustdown,,FALSE,200,JUNGLE,6,1963,98343,11153,0,30820,10367,0,21,99,214,1,0,6516,871,2444,0,9,0,24,1,5,4,FALSE
7,NA1_3956463332,25/6/21 23:06,32.78,3956463332,CLASSIC,teambuilder-match-3956463332,07:34.2,3,0,1,14084,15,157,Yasuo,0,1,3897,6288,3897,19556,7,0,0,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,10396,9450,MIDDLE,0,2,3031,6673,3006,3086,0,0,3340,16,0,2,MIDDLE,1282,0,1,566,5467,1051,1843,25,0,1,0,0,8,0,155781,9254,9789,3505,spJ4iYfvVv2vcTsOHnHgumE-48sII-MQIhSEVoYcxfGoxs71OkVtD8zJW2TLAZUDWFeQ7pwwxLbkuQ,0,,,SOLO,0,208,7,65,3,5,4,6,14,HyF7yYBqQaPXgER5wBkTsQgsKyLrjmVStbSFtBZgt1Kd73c,80,HomemadeKazokuu,,FALSE,200,MIDDLE,19,1963,172109,11650,0,13621,1138,0,178,147,186,1,0,10861,1343,1987,1,9,0,14,0,1,8,FALSE
8,NA1_3956463332,25/6/21 23:06,32.78,3956463332,CLASSIC,teambuilder-match-3956463332,07:34.2,3,0,0,10226,13,67,Vayne,0,1,989,989,989,8578,11,0,1,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,11567,11400,BOTTOM,0,2,3153,6672,3006,3124,1018,0,3340,23,2,7,BOTTOM,330,2,2,269,333,333,3392,8,0,1,0,0,9,0,90229,10776,14769,4903,HAs5BAXZyBG67tiVLQe2fOAerGvdcC3CeCh33sTSWWmSedLuRqTLLVCBOCsr-hUSheffctac8xna1A,0,,,SOLO,0,44,0,5,8,6,4,6,7,D8LfzKHz2I95fCip_nWOwAjaQnHerAE0ZpS4YrY8PzmeCSY,305,FadeAWade,,FALSE,200,BOTTOM,4,1963,113636,15427,0,20722,4068,538,149,12,274,3,0,23073,4317,2560,1,9,0,15,0,3,8,FALSE
9,NA1_3956463332,25/6/21 23:06,32.78,3956463332,CLASSIC,teambuilder-match-3956463332,07:34.2,9,0,0,9465,12,235,Senna,0,5,620,1356,620,8961,8,3,0,1,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,9627,8725,UTILITY,0,2,3009,6692,3864,6333,3133,0,3364,23,1,3,JUNGLE,430,2,1,403,0,0,2234,11,0,1,0,0,10,0,30822,14332,8865,4903,q2i7FN0csGZC_rZOhfXPt6nbvO_USRUt2a67P1M8x_qY-URkITuoQ0r5z7_fF6i64rZ2af-tA-5N4g,0,,,NONE,0,42,44,18,7,5,4,7,21,XLzoHi730-tyniVP36s5rpORQsNAkPZs2paoci3A9MzE0vQ,217,MakeCakeWithJake,,FALSE,200,UTILITY,51,1963,30822,14332,1230,12578,6296,2967,12,134,137,3,0,0,0,1478,0,9,0,59,3,8,22,FALSE
0,NA1_3952861711,22/6/21 23:09,31.08,3952861711,CLASSIC,teambuilder-match-3952861711,10:22.0,18,0,0,13615,15,106,Volibear,0,3,1400,8153,1400,19335,3,1,1,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,9771,9025,TOP,0,0,1054,6632,3748,1028,3047,1036,3364,17,1,3,TOP,0,2,2,1278,32216,5059,3772,0,0,0,0,0,1,0,37003,10805,18317,4903,SR2v7CQNz98o9BXDueIa_uiELDu0jQ-QiPu4aMWRFt1b849fBOqBQh71zy3Sx7nTn-o9Fd9jQ_1wlg,0,,,SOLO,0,28,44,60,8,4,4,4,12,l36yhX4ScEus3XuEyz1vwvscGvRkUgEzWnmRsizIUTO--cR-,106,DESTRUCTIVEPILL,,FALSE,100,TOP,32,1856,73779,15864,0,24245,4032,0,94,268,83,1,0,4560,0,2155,0,6,0,12,2,2,5,TRUE
1,NA1_3952861711,22/6/21 23:09,31.08,3952861711,CLASSIC,teambuilder-match-3952861711,10:22.0,12,0,3,15708,16,120,Hecarim,0,11,1832,25848,1832,30562,3,10,0,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,13130,12075,JUNGLE,0,0,6632,3053,3158,6333,1029,2055,3364,29,3,8,JUNGLE,0,3,1,866,22608,3330,13013,162,1,0,1,0,2,0,149767,17123,24029,4832,WX8S5IQWXya4qfyjz9ErFCeIwHHRfM780kooZhHPBoiYhFRs6Nm6kP7ZRG_sNw6oD9XTGQEo5CQjOw,0,,,NONE,0,225,47,50,10,6,6,18,11,PKpvoXNd6AxT8bv9TfPmQM-fkyXTgUFlSNoFn0iNXfL2fKs6,118,them3chanicalfox,,FALSE,100,JUNGLE,31,1856,189094,21239,0,40804,24582,0,43,232,124,1,0,16718,786,3761,2,6,0,31,11,5,11,TRUE
2,NA1_3952861711,22/6/21 23:09,31.08,3952861711,CLASSIC,teambuilder-match-3952861711,10:22.0,8,0,3,14423,15,518,Neeko,0,2,6007,8677,6007,6767,2,0,3,0,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,12646,11450,MIDDLE,0,0,6656,3089,4628,3020,0,0,3363,15,2,11,MIDDLE,0,7,2,1372,105889,20855,4860,3,0,0,0,0,3,0,16860,603,7052,1590,raGBXe_BJuvAWmlsPclXYd_Tx8G6k04fOFTdX0ipcZ1gAXeI1eVo_3KsGVaZRZCN0JFxldFWbRbU_g,0,,,SOLO,0,68,30,41,7,4,4,5,14,f4m6SFqE-3_SeJNeCsod2DbvP6JxTyahp0I9ovSzAd-dcI5v,77,Wacoodlx,,FALSE,100,MIDDLE,44,1856,139464,22039,0,14132,2107,0,179,157,91,1,0,16714,579,2219,2,6,0,16,0,1,9,TRUE
3,NA1_3952861711,22/6/21 23:09,31.08,3952861711,CLASSIC,teambuilder-match-3952861711,10:22.0,6,0,2,12378,14,157,Yasuo,0,6,3420,6094,3420,16248,8,3,1,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,10932,9225,BOTTOM,0,0,6673,3031,1029,3006,1055,2055,3340,22,2,5,BOTTOM,592,2,2,529,2107,723,5216,0,0,0,0,0,4,0,99989,6281,14087,989,Ba7lmrqcsNLPdJXyGOPqfNx2kPMttaBQabyiUwtLCkNBXi_65u6RaHBqTL6K_BictI43BNlWnye9nA,0,,,CARRY,0,178,15,28,4,4,4,6,7,0-BdYiKgn0Mt7PdTpcFXeWO9DdWK0Hqj3Png8Qq9CZ_uuOU0nqS5eiI0pw,98,fascistp0tato,,FALSE,100,BOTTOM,9,1856,104147,7005,0,20452,4139,770,170,81,199,3,0,2050,0,1148,2,6,0,24,5,2,13,TRUE
